fecha,hora,id_agente,tipo_operacion,monto,distrito,canal
2026-03-20,9:26,014,depósito,1202.15,Miraflores,caja
2026-03-20,10:55,064,depósito,290.16,Callao,app
2026-03-20,18:50,129,retiro,2347.6,SJL,app
2026-03-20,14:09,145,depósito,472.36,Surco,app
2026-03-20,12:37,143,depósito,1653.93,Los Olivos,app
2026-03-20,15:35,160,retiro,4985.63,Miraflores,web
2026-03-20,12:22,003,depósito,3299.47,Miraflores,caja
2026-03-20,15:59,035,retiro,4850.22,Miraflores,web
2026-03-20,17:17,006,retiro,1847.67,Miraflores,app
2026-03-20,13:40,167,retiro,1824.56,San Isidro,web
2026-03-20,17:34,163,depósito,525.13,Los Olivos,caja
2026-03-20,11:40,003,depósito,2308.53,Los Olivos,app
2026-03-20,16:32,107,depósito,3711.1,Surco,app
2026-03-20,9:47,189,depósito,4439.45,SJL,app
2026-03-20,14:27,164,depósito,1327.01,Lima Centro,caja
2026-03-20,16:35,175,retiro,2755.6,Lima Centro,app
2026-03-20,13:07,083,retiro,4919.5,SJL,caja
2026-03-20,11:30,123,depósito,3683.27,SJL,web
2026-03-20,12:13,077,depósito,255.34,Lima Centro,web
2026-03-20,11:33,173,retiro,3908.46,Lima Centro,caja
2026-03-20,16:46,063,retiro,3869.9,SJL,web
2026-03-20,13:37,146,depósito,4087.29,Los Olivos,web
2026-03-20,15:23,135,depósito,2739.46,San Isidro,web
2026-03-20,15:24,069,depósito,620.96,San Isidro,caja
2026-03-20,9:11,021,retiro,3548.88,Surco,app
2026-03-20,8:37,031,retiro,2916.84,Surco,caja
2026-03-20,17:44,220,retiro,4594.51,Miraflores,app
2026-03-20,10:16,150,retiro,198.55,Lima Centro,web
2026-03-20,17:46,012,retiro,4531.37,Surco,web
2026-03-20,12:59,194,depósito,862.34,San Isidro,caja
2026-03-20,16:52,102,retiro,4322.07,San Isidro,app
2026-03-20,8:48,198,depósito,4194.64,Surco,web
2026-03-20,15:40,129,depósito,4791.2,Lima Centro,caja
2026-03-20,12:42,020,retiro,4125.16,Los Olivos,web
2026-03-20,18:21,188,retiro,3788.17,SJL,caja
2026-03-20,11:57,222,retiro,3681.58,SJL,app
2026-03-20,10:32,174,depósito,1732.09,SJL,caja
2026-03-20,16:23,091,depósito,3098.69,Callao,caja
2026-03-20,10:55,213,depósito,112.99,Surco,app
2026-03-20,11:22,112,retiro,1768.31,Callao,web
2026-03-20,18:29,113,depósito,3794.4,Lima Centro,app
2026-03-20,8:20,217,depósito,309.75,Lima Centro,caja
2026-03-20,18:48,020,retiro,3246.93,San Isidro,web
2026-03-20,11:44,107,retiro,2493.69,Surco,web
2026-03-20,12:00,178,depósito,3237.21,SJL,web
2026-03-20,12:19,162,retiro,2705.13,SJL,web
2026-03-20,12:20,153,retiro,2583.52,SJL,caja
2026-03-20,17:24,220,depósito,1887.04,Los Olivos,web
2026-03-20,13:59,138,retiro,278.22,San Isidro,caja
2026-03-20,9:00,031,retiro,1749.38,Lima Centro,caja
2026-03-20,9:19,180,depósito,4999.67,Lima Centro,caja
2026-03-20,18:22,217,depósito,490.89,Lima Centro,app
2026-03-20,18:32,023,depósito,4639.56,Los Olivos,caja
2026-03-20,9:57,075,retiro,1818.14,Surco,app
2026-03-20,16:08,213,depósito,2679.78,Lima Centro,caja
2026-03-20,13:07,220,depósito,3202.56,San Isidro,app
2026-03-20,8:55,234,retiro,4279.38,Callao,caja
2026-03-20,15:39,061,depósito,1719.95,San Isidro,app
2026-03-20,18:27,120,depósito,4201.1,Miraflores,caja
2026-03-20,17:46,101,retiro,3445.47,Surco,app
2026-03-20,8:02,168,retiro,3909.67,SJL,web
2026-03-20,18:18,183,depósito,4037.83,Callao,caja
2026-03-20,18:37,224,retiro,1398.6,Callao,web
2026-03-20,9:32,204,depósito,2847.05,SJL,app
2026-03-20,16:24,094,retiro,2347.44,Callao,caja
2026-03-20,9:32,226,depósito,2006.16,Miraflores,caja
2026-03-20,9:12,131,retiro,642.62,Los Olivos,caja
2026-03-20,14:18,226,depósito,4880.19,Miraflores,caja
2026-03-20,17:59,145,depósito,3292.41,Miraflores,caja
2026-03-20,18:42,224,retiro,3661.89,Miraflores,caja
2026-03-20,8:41,092,depósito,2602.83,Miraflores,caja
